player_id,player_nick
13261,tweiss
13262,guanyu
12712,eQuals
13307,Strings
13255,p2
13256,isp
13258,klumzy
16029,HEAP
16410,Duplicate
18697,oxygeN
12810,SHOCK
11199,beastik
15821,NEOFRAG
12004,clax
16925,tricky
8944,Benkai
14359,w1nt3r
12708,rigoN
18221,Spinx
7523,maRky
515,COLON
7227,kev1n
9382,t0rick
1159,tixoNsville
6055,torNadQ
7404,insom
11608,FLX
11604,ZEPOL
7863,NiWDE
11603,pabeL
11605,sodiuum
11606,Disarray
11607,FlamE
10699,Simple
7942,dERZKIY
16920,sh1ro
16921,nafany
9056,koosta
13254,TenZ
14494,junior
9766,hampus
16486,ztr
8350,desi
1328,flowsicK
1331,Xp3
18839,pwny
18838,HexT
17929,Walco
18837,gmanchew
17930,wiz
16318,bew
18115,Rampage
18979,Prism
15203,reiko
12048,Remoy
11257,Celrate
3820,TOBIZ
13602,nicoodoz
1880,casle
10604,novel
10588,Liazz
18266,Russ
14527,L1NK
18219,Adam9130
18462,mezii
14256,Kray
13779,PASHANOJ
13229,Snakes
13182,xCeeD
13578,Grim
13228,Voltage
19232,JIaYm
7147,Fifflaren
7565,GMX
11126,aune
10114,BONA
11954,FASHR
11273,yNc
8981,Immi
41,pronax
630,MUTiRiS
10671,Ethan
15071,interz
16555,Ax1Le
15165,blameF
18882,mango
10611,Fadey
14904,SloWye
8446,ELUSIVE
8124,DavCost
12731,sdy
9352,mini
8926,SasuKe
8927,mag0o
15835,imoRR
15214,ELOSSA
2284,ryk
2563,Zac
10848,Supreme
12600,kylin
12601,Tank
13693,Franke19
12405,HeiB
10610,refrezh
2407,shEMETA
8412,dream3r
18090,micro
17494,bron
18761,viz
13176,Axed
16976,kobruh
13179,RZU
19704,mada
17372,FaNg
14619,Infinite
13568,AJTT
13998,MAXX.
16435,capseN
18186,Crazyy
14000,daxen
9330,Zorrele
18749,sausol
8615,MAIDHEN
9644,YOUYOU
7462,Fuks
12385,JeXeN
11597,amtV
13491,Kaiser
13492,stalker398
8954,d@rklord
13490,Kishi-San
8092,cLb
10058,rz
10055,rockade
10057,epsilonDelta
10056,WhiteDeath
10305,tado
10205,ramel
10207,Minon
10206,J0KER
10261,hevmk
10208,ArT
2264,xAims
11450,derps
9789,syon
9788,SOULZOR
8355,miksu
3121,Gigi
11779,Barkk
9419,Lobanjica
11777,Maden
11778,artie
11009,GAME
16211,hAmsi
16212,Soak
9903,notaN
7413,Nico
16217,Funzie
6796,Nille
8801,xenn
7673,mikeS
8750,no_one
9073,saV
8748,FADE
8499,jayy
8747,DYNAMO
200,Storm
7935,roca
11414,Tomkeejs
11416,EYO
16436,Tusi
11412,twist
14389,Lastík
15438,lucasp
8254,HackeM
9743,Nefan
8448,Golz
11631,FreakY
13565,KINGb
9698,azterix
13558,Beast
14955,Lacore
12083,YDNA
11377,Ethan
10392,baal
10194,Sa7
10192,DeStRoYeR
10169,333ed2k
2285,muziwei
10167,Artill
8994,HS
17450,sense
18855,qRaxs
16769,real
7383,zqkS
19777,jcg
18350,BeeTee
15800,moojuice
14502,Prodigy
18348,Muzoona
17231,Rackem
17234,jtr
18641,BiBiAhn
18024,jhd
11393,Avg
11397,Zeeky
12186,MEETYOURMAKERS
12197,MUSE
12196,saeeiN
12194,bravo
11399,Naughtyyy
12195,luDAcriS
20168,RENNE
20123,regali
19817,s0und
15785,markk
19818,swiiffter
10727,Andkilde
3037,neon
7932,doktizh
13349,KaDaZ
10403,squidi
7966,cube
2393,tekziNz
19926,afro
17585,b4rtiN
13230,motm
16647,Bwills
11852,SP33D
11854,wAti
11853,r4id3n
11856,admiral
11855,KIK0
11870,jigetAAA
11869,ash
11867,FeeGz
11866,iClutch
11876,Klash
9019,Surreal
8276,APE
9053,Uber
7444,Spitfire
2644,Hiko
7433,adreN
14419,roeJ
9612,Bubzkji
12271,moose
11586,dapr
13339,JamezIRL
12101,neptune
20655,ReegaN
20658,fett1s
20657,JackB
20193,fluFFs
20656,fredde
15375,isk
18571,CYPHER
20359,dox
19207,EIZA
18560,leaf
